Genomic Position Start,Genomic Position End,Gene/Locus And Other Related Symbols,Gene Name,Phenotypes,MOI
50133737,50150677,"PPP1R9B, SPINO","Protein phosphatase 1, regulatory subunit 9B",,
50166005,50175928,"SGCA, ADL, DAG2, LGMDR3","Sarcoglycan, alpha (50kD dystrophin-associated glycoprotein; adhalin)","Muscular dystrophy, limb-girdle, autosomal recessive 3, 608099 (3), Autosomal recessive",AR
50171428,50172476,HILS1,Spermatid-specific linker histone H1-like protein,,
50184101,50201631,"COL1A1, OI1, OI2, OI3, OI4, EDSARTH1, CAFYD","Collagen I, alpha-1 polypeptide","Osteogenesis imperfecta, type II, 166210 (3), Autosomal dominant; Caffey disease, 114000 (3), Autosomal dominant; Ehlers-Danlos syndrome, arthrochalasia type, 1, 130060 (3), Autosomal dominant; Osteogenesis imperfecta, type I, 166200 (3), Autosomal dominant; {Bone mineral density variation QTL, osteoporosis}, 166710 (3), Autosomal dominant; Combined osteogenesis imperfecta and Ehlers-Danlos syndrome 1, 619115 (3), Autosomal dominant; Osteogenesis imperfecta, type IV, 166220 (3), Autosomal dominant; Osteogenesis imperfecta, type III, 259420 (3), Autosomal dominant",AD
50271406,50281485,TMEM92,Transmembrane protein 92,,
50346126,50361185,"XYLT2, XT2, SOS",Xylosyltransferase 2,"{Pseudoxanthoma elasticum, modifier of severity of}, 264800 (3), Autosomal recessive; Spondyloocular syndrome, 605822 (3), Autosomal recessive",AR
50367867,50373184,MRPL27,Mitochondrial ribosomal protein L27,,
50373229,50381483,EME1,Essential meiotic structure-specific endonuclease 1,,
50381238,50397523,"LRRC59, p34",Leucine-rich repeat-containing protein 59,,
50426218,50474845,"ACSF2, FLJ20920",Acyl-CoA synthetase family member 2,,
50464496,50468880,CHAD,Chondroadherin,,
50478860,50485974,RSAD1,Radical S-adenosyl methionine domain-containing protein 1,,
50507778,50531501,"MYCBPAP, AMAP1",MYCBP-associated protein,,
50532735,50543750,EPN3,Epsin 3,,
50547174,50555852,"SPATA20, SSP411",Spermatogenesis-associated protein 20,,
50560715,50627474,"CACNA1G, SCA42, SCA42ND","Calcium channel, voltage-dependent, T type, alpha-1G subunit","Spinocerebellar ataxia 42, 616795 (3), Autosomal dominant; Spinocerebellar ataxia 42, early-onset, severe, with neurodevelopmental deficits, 618087 (3), Autosomal dominant",AD
50634881,50692253,"ABCC3, CMOAT2, MRP3, MLP2","ATP-binding cassette, sub-family C, member 3",,
50719603,50756219,"LUC7L3, CROP, LUC7A",LUC7-like 3 pre-mRNA splicing factor,,
50834584,50842353,"WFIKKN2, WFIKKNRP","WAP, fillistatin, immunoglobulin, Kunitz, and NTR domains-containing protein 2",,
50862223,50867978,"TOB1, TOB","Transducer of ERBB2, 1",,
50962174,51120868,"SPAG9, SYD1, KIAA0516",Sperm-associated antigen 9,,
51153559,51162168,"NME1, NM23",NME/NM23 nucleoside diphosphate kinase 1,,
51165536,51171744,NME2,NME/NM23 nucleoside diphosphate kinase 2,,
51177425,51260958,MBTD1,MBT domain-containing protein 1,,
51260546,51297933,UTP18,UTP18 small subunit processome component,,
51630313,52160023,"CA10, CARPX",Carbonic anhydrase X,,
52100001,59500000,BCL5,B-cell CLL/lymphoma-5,,
53822927,53825193,KIF2B,Kinesin family member 2B,,
54900852,54961956,TOM1L1,Target of MYB1-like 1 membrane trafficking protein,,
54951902,54968785,"COX11, MC4DN23","Cytochrome c oxidase, subunit 11","Mitochondrial complex IV deficiency, nuclear type 23, 620275 (3), Autosomal recessive",AR
54968765,55213273,"STXBP4, SYNIP",Syntaxin-binding protein 4,,
55264960,55325187,HLF,Hepatic leukemia factor,,
55392622,55421835,"MMD, MMD1, PAQR11",Monocyte-to-macrophage differentiation-associated protein,,
55719627,55732081,TMEM100,Transmembrane protein 100,,
55751051,55852715,PCTP,Phosphatidylcholine transfer protein,,
56593699,56595611,"NOG, SYM1, SYNS1A",Noggin,"Symphalangism, proximal, 1A, 185800 (3), Autosomal dominant; Brachydactyly, type B2, 611377 (3), Autosomal dominant; Stapes ankylosis with broad thumbs and toes, 184460 (3), Autosomal dominant; Tarsal-carpal coalition syndrome, 186570 (3), Autosomal dominant; Multiple synostoses syndrome 1, 186500 (3), Autosomal dominant",AD
56834151,56869567,"DGKE, NPHS7, AHUS7","Diacylglycerol kinase, epsilon, 64-kD","{Hemolytic uremic syndrome, atypical, susceptibility to, 7}, 615008 (3), Autosomal recessive; Nephrotic syndrome, type 7, 615008 (3), Autosomal recessive",AR
56887909,56914049,"TRIM25, ZNF147, EFP",Tripartite motif-containing 25,,
56938199,56961050,"COIL, CLN80",Coilin p80,,
56978131,57006768,"SCPEP1, RISC",Serine carboxypeptidase 1,,
57085246,57121344,"AKAP1, AKAP149, SAKAP84","A-kinase anchor protein 1, 149kD",,
57255851,57701581,MSI2,Musashi RNA binding protein 2,,
57834781,57850044,"MRPS23, COXPD46",Mitochondrial ribosomal protein S23,"?Combined oxidative phosphorylation deficiency 46, 618952 (3), Autosomal recessive",AR
57861243,57955412,CUEDC1,CUE domain-containing protein 1,,
57971552,57988254,"VEZF1, ZNF161, CMD1OO",Vascular endothelial zinc finger 1,"?Cardiomyopathy, dilated, 1OO, 620247 (3), Autosomal dominant",AD
57989038,58007246,"SRSF1, SFRS1, ASF, SF2, SRp30a, NEDFBA","Splicing factor, arginine/serine-rich 1 (splicing factor 2, alternate splicing factor)","Neurodevelopmental disorder with dysmorphic facies and behavioral abnormalities, 620489 (3), Autosomal dominant",AD
58083419,58095542,"DYNLL2, DLC2","Dynein, light chain, LC8-type 2",,
58192726,58205174,"EPX, EPXD",Eosinophil peroxidase,"[Eosinophil peroxidase deficiency], 261500 (3), Autosomal recessive",AR
58205441,58219255,"MKS1, MKS, BBS13, JBTS28",MKS1 transition zone complex subunit 1,"Bardet-Biedl syndrome 13, 615990 (3), Autosomal recessive; Meckel syndrome 1, 249000 (3), Autosomal recessive; Joubert syndrome 28, 617121 (3), Autosomal recessive",AR
58238584,58268518,LPO,Lactoperoxidase,,
58269855,58280935,MPO,Myeloperoxidase,"{Alzheimer disease, susceptibility to}, 104300 (3), Autosomal dominant; Myeloperoxidase deficiency, 254600 (3), Autosomal recessive; {Lung cancer, protection against, in smokers} (3)",AD/AR
58301231,58328795,"TSPOAP1, RIMBP1, KIAA0612, BZRAP1, PRAX1, DYT22",TSPO associated protein 1,"Dystonia 22, juvenile-onset, 620453 (3), Autosomal recessive; ?Dystonia 22, adult-onset, 620456 (3), Autosomal recessive",AR
58331232,58331318,MIR142,Micro RNA 142,,
58345178,58352201,SUPT4H1,"SPT4 homolog, DSIF elongation factor subunit",,
58352500,58417534,"RNF43, RNF124, SSPCS",Ring finger protein 43,"Sessile serrated polyposis cancer syndrome, 617108 (3), Autosomal dominant",AD
58489537,58519047,MTMR4,Myotubularin-related protein 4,,
58520256,58544328,"SEPT4, PNUTL2",Septin 4,,
58556678,58692045,"TEX14, SPGF23",Testis-expressed gene 14,"Spermatogenic failure 23, 617707 (3), Autosomal recessive",AR
58692573,58735611,"RAD51C, FANCO, BROVCA3",RAD52 paralog C,"{Breast-ovarian cancer, familial, susceptibility to, 3}, 613399 (3); Fanconi anemia, complementation group O, 613390 (3), Autosomal recessive",AR
58755854,58985179,"PPM1E, CAMKPN","Protein phosphatase, magnesium/manganese-dependent, 1E",,
58967201,59106880,"TRIM37, MUL, KIAA0898",Tripartite motif-containing 37,"Mulibrey nanism, 253250 (3), Autosomal recessive",AR
59109857,59155186,"SKA2, FAM33A","Spindle- and kinetochore-associated complex, subunit 2",,
59151136,59151221,"MIR301A, MIR301",Micro RNA 301A,,
59155746,59206709,PRR11,Proline-rich protein 11,,
59210035,59215230,"SMG8, C17orf71, ALKUS",SMG8 nonsense-mediated mRNA decay factor,"Alzahrani-Kuwahara syndrome, 619268 (3), Autosomal recessive",AR
59220511,59275970,"GDPD1, GDE4",Glycerophosphodiester phosphodiesterase domain-containing protein 1,,
59331655,59401729,YPEL2,Yippee-like 2,,
59500001,64600000,BSZQTL,Bone size quantitative trait locus 1,"{Bone size QTL}, 609656 (2)",
59500001,63100000,"DEL17q23.1q23.2, C17DELq23.1q23.2",Chromosome 17q23.1-q23.2 deletion syndrome,"Chromosome 17q23.1-q23.2 deletion syndrome, 613355 (4), Isolated cases",
59500001,63100000,"DUP17q23.1q23.2, C17DUPq23.1q23.2",Chromosome 17q23.1-q23.2 duplication syndrome,"Chromosome 17q23.1-q23.2 duplication syndrome, 613618 (4), Autosomal dominant",AD
59500001,83257441,PEPE,Peptidase E,,
59565610,59608345,"DHX40, DDX40",DEAH-box helicase 40,,
59619895,59696956,"CLTC, MRD56","Clathrin, heavy polypeptide (Hc)","Intellectual developmental disorder, autosomal dominant 56, 617854 (3), Autosomal dominant",AD
59697308,59707430,"PTRH2, BIT1, IMNEPD",Peptidyl-tRNA hydrolase 2,"Infantile-onset multisystem neurologic, endocrine, and pancreatic disease, 616263 (3), Autosomal recessive",AR
59707654,59842255,"VMP1, TMEM49, EPG3",Vacuole membrane protein 1,,
59841266,59841337,"MIR21, MIRN21",Micro RNA 21,,
59859479,59892943,"TUBD1, TUBD","Tubulin, delta-1",,
59893121,59950574,"RPS6KB1, S6K1",Ribosomal protein S6 kinase B1,,
59952240,59964740,RNFT1,"RING finger protein, transmembrane 1",,
60083566,60088467,"WFDC21P, LNCDC, LOC615638","WAP four-disulfide core domain 21, pseudogene",,
60149973,60179021,CA4,Carbonic anhydrase IV,,
60177327,60422416,"USP32, USP10",Ubiquitin-specific protease 32,,
60200001,76800000,BMIQ15,Body mass index quantitative trait locus 15,"[Body mass index QTL 15], 612967 (2)",
60200001,63100000,RP17,Retinitis pigmentosa 17,"Retinitis pigmentosa 17, 600852 (4), Autosomal dominant",AD
60443158,60526242,"APPBP2, PAT1",Amyloid beta precursor protein-binding protein 2,,
60600193,60666280,"PPM1D, WIP1, JDVS","Protein phosphatase, magnesium-dependent, 1, delta isoform","Breast cancer, somatic, 114480 (3); Jansen-de Vries syndrome, 617450 (3), Autosomal dominant",AD
60677851,61392831,"BCAS3, HEMARS",BCAS3 microtubule associated cell migration factor,"Hengel-Maroofian-Schols syndrome, 619641 (3), Autosomal recessive",AR
61399843,61409466,"TBX2, VETD",T-box 2,"Vertebral anomalies and variable endocrine and T-cell dysfunction, 618223 (3), Autosomal dominant",AD
61452422,61485110,"TBX4, ICPPS, PAPPAS",T-box 4,"Ischiocoxopodopatellar syndrome with or without pulmonary arterial hypertension, 147891 (3), Autosomal dominant; Amelia, posterior, with pelvic and pulmonary hypoplasia syndrome, 601360 (3), Autosomal recessive",AD/AR
61590421,61591219,NACA2,"Nascent polypeptide-associated complex, alpha polypeptide, 2",,
61679139,61863528,"BRIP1, BACH1, FANCJ",BRCA1-associated C-terminal helicase 1,"Fanconi anemia, complementation group J, 609054 (3); {Breast cancer, early-onset, susceptibility to}, 114480 (3), Somatic mutation, Autosomal dominant",AD
61865367,61927982,"INTS2, INT2, KIAA1287",Integrator complex subunit 2,,
61942605,62065278,"MED13, THRAP1, TRAP240, MRD61",Mediator complex subunit 13,"Intellectual developmental disorder, autosomal dominant 61, 618009 (3), Autosomal dominant",AD
62370218,62416480,EFCAB3,EF-hand calcium-binding domain-containing protein 3,,
62423897,62453385,"METTL2A, METTL2","Methyltransferase 2A, methylcytidine",,
62470914,62615481,"TLK2, MRD57",Tousled-like kinase 2,"Intellectual developmental disorder, autosomal dominant 57, 618050 (3), Autosomal dominant",AD
62627670,62693597,"MRC2, ENDO180, UPARAP, CD280","Mannose receptor, C-type, 2",,
62701314,62808314,MARCH10,Membrane-associated RING-CH finger protein 10,,
62966235,63427703,"TANC2, KIAA1636, IDDALDS","Tetratricopeptide repeat-, ankyrin repeat-, and coiled-coil-containing protein 2","Intellectual developmental disorder with autistic features and language delay, with or without seizures, 618906 (3), Autosomal dominant",AD
63432304,63446639,"CYB561, ORTHYP2",Cytochrome b-561,"Orthostatic hypotension 2, 618182 (3), Autosomal recessive",AR
63477061,63498373,"ACE, DCP1, ACE1, MVCD3, ICH",Angiotensin I converting enzyme (dipeptidyl carboxypeptidase-1),"{Stroke, hemorrhagic}, 614519 (3); Renal tubular dysgenesis, 267430 (3), Autosomal recessive; {Myocardial infarction, susceptibility to} (3); {Microvascular complications of diabetes 3}, 612624 (3); [Angiotensin I-converting enzyme, benign serum increase] (3); {SARS, progression of} (3)",AR
63523358,63548992,"KCNH6, HERG2","Potassium channel, voltage-gated, subfamily H, member 6",,
63550477,63594266,"DCAF7, AN11",DDB1- and CUL4-associated factor 7,,
63600895,63608365,"TACO1, CCDC44, MC4DN8",Translational activator of mitochondrially encoded cytochrome c oxidase subunit I,"Mitochondrial complex IV deficiency, nuclear type 8, 619052 (3), Autosomal recessive",AR
63622417,63696305,"MAP3K3, MEKK3, MAPKKK3",Mitogen-activated kinase kinase kinase 3,,
63702832,63741986,"STRADA, STRAD, LYK5",STE20-related kinase adaptor alpha,"Polyhydramnios, megalencephaly, and symptomatic epilepsy, 611087 (3), Autosomal recessive",AR
63745255,63773597,"CCDC47, THNS",Coiled-coil domain-containing protein 47,"Trichohepatoneurodevelopmental syndrome, 618268 (3), Autosomal recessive",AR
63773800,63819317,"DDX42, RHELP",DEAD-box helicase 42,,
63819433,63827663,FTSJ3,FTSJ RNA 2-prime-O-methyltransferase 3,,
63827431,63832019,"PSMC5, TRIP1","Proteasome (prosome, macropain) 26S subunit, ATPase, 5",,
63832081,63842685,"SMARCD2, BAF60B, SGD2","SWI/SNF-related, matrix-associated, actin-dependent regulator of chromatin, subfamily d, member 2","Specific granule deficiency 2, 617475 (3), Autosomal recessive",AR
63857016,63864379,"TCAM1P, TCAM1","Testicular cell adhesion molecule 1, pseudogene",,
63872012,63873729,"CSH2, CSB",Chorionic somatomammotropin B,,
63880215,63881944,"GH2, GHV",Growth hormone-2,,
63894918,63896574,"CSH1, CSA, PL",Chorionic somatomammotropin hormone-1,[Placental lactogen deficiency] (1),
63909608,63911258,"CSHL1, CSL",Chorionic somatomammotropin hormone-like 1,,
63917203,63918839,"GH1, GHN, IGHD1A, IGHD1B, IGHD2",Growth hormone-1,"Kowarski syndrome, 262650 (3), Autosomal recessive; Growth hormone deficiency, isolated, type II, 173100 (3), Autosomal dominant; Growth hormone deficiency, isolated, type IB, 612781 (3); Growth hormone deficiency, isolated, type IA, 262400 (3), Autosomal recessive",AD/AR
63928740,63932331,"CD79B, IGB, B29, AGM6",CD79B antigen,"Agammaglobulinemia 6, 612692 (3), Autosomal recessive",AR
63938554,63972918,"SCN4A, HYPP, NAC1A, HOKPP2, CMS16, CMYP22A","Sodium voltage-gated channel, alpha subunit 4","Paramyotonia congenita, 168300 (3), Autosomal dominant; Hyperkalemic periodic paralysis, 170500 (3), Autosomal dominant; Congenital myopathy 22B, severe fetal, 620369 (3), Autosomal recessive; Hypokalemic periodic paralysis, type 2, 613345 (3), Autosomal dominant; Myotonia congenita, atypical, acetazolamide-responsive, 608390 (3), Autosomal dominant; Myasthenic syndrome, congenital, 16, 614198 (3), Autosomal recessive; Congenital myopathy 22A, classic, 620351 (3), Autosomal recessive",AD/AR
64002595,64020633,ICAM2,Intercellular adhesion molecule-2,,
64039142,64130144,"ERN1, IRE1, IRE1A",Endoplasmic reticulum-to-nucleus signaling 1,,
64147227,64263260,"TEX2, KIAA1738",Testis-expressed gene 2,,
64319415,64390860,PECAM1,Platelet/endothelial cell adhesion molecule (CD31 antigen),,
64477785,64497054,"POLG2, POLGB, PEOA4, MTDPS16A, MTDPS16B","Polymerase, DNA, gamma-2","Progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal dominant 4, 610131 (3), Autosomal dominant; ?Mitochondrial DNA depletion syndrome 16 (hepatic type), 618528 (3), Autosomal recessive; ?Mitochondrial DNA depletion syndrome 16B (neuroophthalmic type), 619425 (3), Autosomal recessive",AD/AR
64498254,64506866,"DDX5, HLR1, G17P1",DEAD-box helicase 5,,
64542282,64662307,SMURF2,SMAD-specific E3 ubiquitin protein ligase 2,,
64600001,72900000,"CTRCT7, CCA1",Cataract 7,"Cataract 7, 115660 (2), Autosomal dominant",AD
64600001,72900000,SRXY10,"46,XY sex reversal 10","46XY sex reversal 10, 616425 (4), Autosomal dominant",AD
64854130,64919478,LRRC37A3,Leucine-rich repeat-containing protein 37A3,,
65009289,65056740,GNA13,"Guanine nucleotide-binding protein, alpha-13",,
65137370,65227703,"RGS9, PERRS1",Regulator of G protein signaling 9,"Prolonged electroretinal response suppression 1, 608415 (3), Autosomal recessive",AR
65528563,65561648,"AXIN2, ODCRCS","Axis inhibitor 2 (conductin, mouse, homolog of)","Colorectal cancer, somatic, 114500 (3); Oligodontia-colorectal cancer syndrome, 608615 (3), Autosomal dominant",AD
65635537,66192133,"CEP112, CCDC46, MACOCO, SPGF44","Centrosomal protein, 112kD","Spermatogenic failure 44, 619044 (3), Autosomal recessive",AR
66200001,72900000,"HTGH, DEL17q24","Hypertrichosis terminalis, generalized, with or without gingival hyperplasia (chromosome 17q24 microdeletion syndrome)","Hypertrichosis terminalis, generalized, with or without gingival hyperplasia, 135400 (4), Autosomal recessive",AR
66212033,66229415,APOH,Apolipoprotein H (beta-2-glycoprotein I),,
66302613,66810743,"PRKCA, PKCA","Protein kinase C, alpha polypeptide","Pituitary tumor, invasive (3)",
66835117,66894751,CACNG5,"Calcium channel, voltage-dependent, gamma-5 subunit",,
66964707,67033398,CACNG4,"Calcium channel, voltage-dependent, gamma-4 subunit",,
67044554,67056797,"CACNG1, CACNLG","Calcium channel, voltage-dependent, gamma-1 subunit",,
67070444,67245989,"HELZ, KIAA0054, HUMORF5",Helicase with zinc finger domain,,
67337916,67366577,"PSMD12, P55, STISS","Proteasome 26S subunit, non-ATPase, 12","Stankiewicz-Isidor syndrome, 617516 (3), Autosomal dominant",AD
67377281,67697256,"PITPNC1, RDGBB","Phosphatidylinositol transfer protein, cytoplasmic, 1",,
67717936,67744531,NOL11,Nucleolar protein 11,,
67825503,67984378,"BPTF, FALZ, FAC1, NURF301, NEDDFL",Bromodomain PHD finger transcription factor,"Neurodevelopmental disorder with dysmorphic facies and distal limb anomalies, 617755 (3), Autosomal dominant",AD
68035735,68046854,"KPNA2, RCH1, QIP2",Karyopherin alpha-2,,
68206129,68257164,AMZ2,Archaelysin family metallopeptidase 2,,
68259170,68452019,"ARSG, KIAA1001, USH4",Arylsulfatase G,"Usher syndrome, type IV, 618144 (3), Autosomal recessive",AR
68267026,68291479,"SLC16A6, MCT7",Solute carrier family 16 (monocarboxylic acid transporter) member 6,,
68413623,68551316,"PRKAR1A, TSE1, CNC1, CAR, PPNAD1, ACRDYS1","Protein kinase, cAMP-dependent, regulatory, type I, alpha","Pigmented nodular adrenocortical disease, primary, 1, 610489 (3), Autosomal dominant; Acrodysostosis 1, with or without hormone resistance, 101800 (3), Autosomal dominant; Adrenocortical tumor, somatic (3); Carney complex, type 1, 160980 (3), Autosomal dominant; Myxoma, intracardiac, 255960 (3), Autosomal dominant",AD
68421281,68457496,"WIPI1, WIPI49",WD40 repeat protein interacting with phosphoinositides 1,,
68535116,68601367,"FAM20A, AIGFS, AI1G","Family with sequence similarity 20, member A","Amelogenesis imperfecta, type IG (enamel-renal syndrome), 204690 (3), Autosomal recessive",AR
68867289,68955392,"ABCA8, KIAA0822","ATP-binding cassette, subfamily A, member 8",,
68974488,69078977,ABCA9,"ATP-binding cassette, subfamily A, member 9",,
69078702,69141895,ABCA6,"ATP-binding cassette, subfamily A, member 6",,
69100001,76800000,PRBNS,Pierre Robin syndrome,"Pierre Robin syndrome, 261800 (2), Autosomal recessive",AR
69100001,76800000,"SRXX2, DUP17q24.3",46XX sex reversal 2,"46XX sex reversal 2, 278850 (4), Autosomal dominant",AD
69100001,72900000,TTPP3,"Thyrotoxic periodic paralysis, susceptibility to, 3","{Thyrotoxic periodic paralysis, susceptibility to, 3}, 614834 (2)",
69148007,69244848,ABCA10,"ATP-binding cassette, subfamily A, member 10",,
69244311,69327133,"ABCA5, KIAA1888, HTC3","ATP-binding cassette, subfamily A, member 5","?Hypertrichosis, congenital generalized, with gingival hyperplasia, 135400 (3), Autosomal recessive",AR
69414697,69553865,"MAP2K6, PRKMK6, MKK6, MEK6, MAPKK6",Mitogen-activated protein kinase kinase 6,,
70075225,70135608,"KCNJ16, KIR5.1, HKTD","Potassium channel, inwardly rectifying, subfamily J, member 16","Hypokalemic tubulopathy and deafness, 619406 (3), Autosomal recessive",AR
70169532,70180044,"KCNJ2, HHIRK1, KIR2.1, IRK1, LQT7, SQT3, ATFB9","Potassium channel, inwardly rectifying, subfamily J, member 2","Atrial fibrillation, familial, 9, 613980 (3), Autosomal dominant; Andersen syndrome, 170390 (3), Autosomal dominant; Short QT syndrome 3, 609622 (3)",AD
72121020,72126416,"SOX9, CMD1, SRA1",SRY (sex-determining region Y)-box 9,"Campomelic dysplasia with autosomal sex reversal, 114290 (3), Autosomal dominant; Acampomelic campomelic dysplasia, 114290 (3), Autosomal dominant; Campomelic dysplasia, 114290 (3), Autosomal dominant",AD
72403322,72592804,"LINC00673, HILNC75, SLNCR, LUCAIR1",Long intergenic noncoding RNA 673,,
72645949,73092688,"SLC39A11, ZIP11, C17orf26","Solute carrier family 39 (zinc transporter), member 11",,
72900001,83257441,CDR3,Cerebellar degeneration-related autoantigen-3,,
72900001,83257441,DSPS,"Delayed sleep phase syndrome, susceptibility to","{Delayed sleep phase syndrome, susceptibility to}, 614163 (2), Autosomal dominant",AD
72900001,83257441,EPR1,Effector cell protease receptor 1,,
72900001,83257441,NDNC9,"Nail disorder, nonsyndromic congenital, 9 (anonychia-onycholysis)","Nail disorder, nonsyndromic congenital, 9, 614149 (2), Autosomal recessive",AR
73165010,73176633,SSTR2,Somatostatin receptor-2,,
73193055,73208507,"COG1, LDLB, KIAA1381, CDG2G",Component of oligomeric golgi complex 1,"Congenital disorder of glycosylation, type IIg, 611209 (3), Autosomal recessive",AR
73283624,73312001,"CDC42EP4, BORG4",CDC42 effector protein 4 (binder of Rho GTPases 4),,
73334384,73644445,"SDK2, KIAA1514",Sidekick cell adhesion molecule 2,,
74203678,74210655,RPL38,Ribosomal protein L38,,
74213571,74262020,TTYH2,Tweety family member 2,,
74274234,74314884,"DNAI2, CILD9","Dynein, axonemal, intermediate chain 2","Ciliary dyskinesia, primary, 9, with or without situs inversus, 612444 (3), Autosomal recessive",AR
74326226,74355820,KIF19,Kinesin family member 19,,
74367506,74372600,"GPR142, PGR2",G protein-coupled receptor 142,,
74432088,74451658,"GPRC5C, RAIG3","G protein-coupled receptor, family C, group 5, member C",,
74466373,74484798,"CMRF35H, CMRF35H9",CMRF35H antigen,,
74521174,74531475,"CD300LB, TREM5, IREM3","CD300 antigen-like family, member B",,
74534635,74546115,"CMRF35, CMRF35A",CMRF35 antigen,,
74557243,74567509,CD300H,CD300H antigen,,
74578643,74592283,"CD300LD, CD300D","CD300 antigen-like family, member D",,
74609885,74623738,"CD300E, CD300LE, IREM2, CLM2",CD300E antigen,,
74671131,74747335,RAB37,Pas-associated protein RAB37,,
74694317,74712923,"CD300LF, IGSF13, IREM1, CLM1","CD300 antigen-like family, member F",,
74748628,74769353,"SLC9A3R1, EBP50, NHERF1, NPHLOP2","Solute carrier family 9 (sodium/hydrogen exchanger), member 3 regulatory factor 1","Nephrolithiasis/osteoporosis, hypophosphatemic, 2, 612287 (3), Autosomal dominant",AD
74842023,74861532,"GRIN2C, NMDAR2C","Glutamate receptor, ionotropic, N-methyl D-aspartate 2C",,
74862497,74872994,"FDXR, ADXR, ANOA",Ferredoxin reductase (adrenodoxin reductase),"Auditory neuropathy and optic atrophy, 617717 (3), Autosomal recessive",AR
74874787,74893633,FADS6,Fatty acid desaturase 6,,
74916083,74923255,"USH1G, SANS",USH1 protein network component SANS,"Usher syndrome, type 1G, 606943 (3), Autosomal recessive",AR
74924273,74933912,OTOP2,Otopetrin 2,,
74935802,74949992,OTOP3,Otopetrin 3,,
74950742,74972759,"HID1, 17orf28, DMC1, DEE105",HID1 domain-containing protein 1,"Developmental and epileptic encephalopathy 105 with hypopituitarism, 619983 (3), Autosomal recessive",AR
75012670,75021261,"MRPL58, ICT1, DS1",Mitochondrial ribosomal protein L58,,
75032571,75065886,"KCTD2, KIAA0176",Potassium channel tetramerization domain-containing 2,,
75038863,75046969,"ATP5PD, APT5H","ATP synthase, peripheral stalk, subunit D",,
75087385,75110149,"SLC16A5, MCT6",Solute carrier family 16 (monocarboxylic acid transporter) member 5,,
75130228,75131742,"NT5C, UMPH2, DNT1","5', 3' nucleotidase, cytosolic",,
75135243,75154512,"JPT1, HN1",Jupiter microtubule-associated homolog 1,,
75165586,75182959,"SUMO2, SMT3B",Small ubiquitin-like modifier 2,,
75205679,75235758,"NUP85, PCNT1, PCNT, NPHS17",Nucleoporin 85kD,"Nephrotic syndrome, type 17, 618176 (3), Autosomal recessive",AR
75261879,75266376,"MRPS7, COXPD34",Mitochondrial ribosomal protein S7,"?Combined oxidative phosphorylation deficiency 34, 617872 (3), Autosomal recessive",AR
75236599,75262363,"GGA3, KIAA0154","Golgi associated, gamma adaptin ear containing, ARF binding protein 3",,
75266228,75271292,"MIF4GD, SLIP1",MIF4G domain-containing protein,,
75272992,75289433,"SLC25A19, DNC, MUP1, MCPHA, THMD3, THMD4","Solute carrier family 25 (mitochondrial deoxynucleotide carrier), member 19","Microcephaly, Amish type, 607196 (3), Autosomal recessive; Thiamine metabolism dysfunction syndrome 4 (progressive polyneuropathy type), 613710 (3), Autosomal recessive",AR
75318076,75405678,GRB2,Growth factor receptor-bound protein 2,,
75456635,75500452,"TMEM94, KIAA0195, IDDCDF",Transmembrane protein 94,"Intellectual developmental disorder with cardiac defects and dysmorphic facies, 618316 (3), Autosomal recessive",AR
75500261,75515537,"CASKIN2, KIAA1139",CASK-interacting protein 2,,
75516528,75524735,"TSEN54, SEN54, PCH2A, PCH4, PCH5","tRNA splicing endonuclease, subunit 54","Pontocerebellar hypoplasia type 2A, 277470 (3), Autosomal recessive; Pontocerebellar hypoplasia type 4, 225753 (3), Autosomal recessive; ?Pontocerebellar hypoplasia type 5, 610204 (3), Autosomal recessive",AR
75525002,75575209,LLGL2,LLGL scribble cell polarity complex component 2,,
75626854,75667154,"RECQL5, RECQ5","DNA helicase, RecQ-like 5",,
75646251,75647974,"SMIM6, ELN",Small integral membrane protein 6,,
75667338,75708059,"SAP30BP, HTRP, HCNGP, HTRG",SAP30-binding protein,,
75721459,75757818,"ITGB4, JEB5B, JEB5A","Integrin, beta-4","Epidermolysis bullosa, junctional 5B, with pyloric atresia, 226730 (3), Autosomal recessive; Epidermolysis bullosa, junctional 5A, intermediate, 619816 (3), Autosomal recessive",AR
75751469,75765192,GALK1,Galactokinase-1,"Galactokinase deficiency with cataracts, 230200 (3), Autosomal recessive",AR
75776434,75779779,"H3-3B, H3F3B, BRYLIB2",H3.3 histone B,"Bryant-Li-Bhoj neurodevelopmental syndrome 2, 619721 (3), Autosomal dominant",AD
75784806,75825799,"UNK, UNKEMPT, ZC3H5, KIAA1753",Unkempt family zinc finger protein,,
75827225,75844404,"UNC13D, MUNC13-4, HPLH3, HLH3, FHL3",unc-13 homolog D,"Hemophagocytic lymphohistiocytosis, familial, 3, 608898 (3), Autosomal recessive",AR
75845699,75856436,"WBP2, DFNB107",WW domain-binding protein 2,"Deafness, autosomal recessive 107, 617639 (3), Autosomal recessive",AR
75874164,75878581,"TRIM47, GOA",Tripartite motif-containing protein 47,,
75879537,75896951,TRIM65,Tripartite motif-containing protein 65,,
75898644,75904884,MRPL38,Mitochondrial ribosomal protein L38,,
75909574,75941042,"FGF1, ALB",FAS-binding factor 1,,
